Absolute Path,Description,Placement,Uses/Intended Uses,How to Use/Execute,Notes/Recommendations,Log Location,Aliases,Filename
/opt/omniscient/add2path,Script or tool to add directories to system PATH.,/opt/omniscient/other,CLI Tool,Open or inspect manually,OK,,,add2path
/opt/omniscient/admin_interface,Admin panel or UI interface entry point.,/opt/omniscient/other,Interface / UI,Open or inspect manually,OK,,,admin_interface
/opt/omniscient/ai,"AI-related directory, likely contains core AI logic or models.",/opt/omniscient/other,Logging / Auditing,Open or inspect manually,Consider logrotate,,,ai
/opt/omniscient/ai_commands_summarizer.py,Python script to summarize AI command outputs or usage.,/opt/omniscient/ai,AI Processing,python3 ai_commands_summarizer.py,OK,,alias ai_commands_summarizer='python3 /opt/omniscient/scripts/ai_commands_summarizer.py',ai_commands_summarizer.py
/opt/omniscient/ai_details,Contains configuration or metadata related to AI components.,/opt/omniscient/other,AI Processing,Open or inspect manually,OK,,,ai_details
/opt/omniscient/ai_scraping_google_proxy.py,"Google search scraper using proxy, likely for OSINT.",/opt/omniscient/ai,Data Collection,python3 ai_scraping_google_proxy.py,OK,,alias ai_scraping_google_proxy='python3 /opt/omniscient/scripts/ai_scraping_google_proxy.py',ai_scraping_google_proxy.py
/opt/omniscient/all_logged_filenames.log,Log file of all previously logged filenames.,/opt/omniscient/logs,Logging / Auditing,less all_logged_filenames.log,Consider logrotate,/opt/omniscient/logs/all_logged_filenames.log,,all_logged_filenames.log
/opt/omniscient/appendlogstodirs,Script to append logs to corresponding directory listings.,/opt/omniscient/logs,Logging / Auditing,Open or inspect manually,Consider logrotate,/opt/omniscient/logs/appendlogstodirs,,appendlogstodirs
/opt/omniscient/arsenal,"Directory of tools and exploits, part of offensive/security toolkit.",/opt/omniscient/offensive,CLI Tool,Open or inspect manually,OK,,,arsenal
/opt/omniscient/autoenv_config,Configuration for autoenv virtual environment tool.,/opt/omniscient/init,CLI Tool,Open or inspect manually,OK,,,autoenv_config
/opt/omniscient/autoenv_master_installer.sh,Master installer for autoenv across environments.,/opt/omniscient/init,Installation / Setup,bash autoenv_master_installer.sh,OK,,alias autoenv_master_installer='bash /opt/omniscient/scripts/autoenv_master_installer.sh',autoenv_master_installer.sh
/opt/omniscient/autogen_omniscient_structure.sh,Autogenerates the full Omniscient directory structure.,/opt/omniscient/init,Misc / Review,bash autogen_omniscient_structure.sh,OK,,alias autogen_omniscient_structure='bash /opt/omniscient/scripts/autogen_omniscient_structure.sh',autogen_omniscient_structure.sh
/opt/omniscient/autohtmltopdf,Tool or script to automatically convert HTML files to PDF.,/opt/omniscient/init,Misc / Review,Open or inspect manually,OK,,,autohtmltopdf
/opt/omniscient/autoimgshot2.py,Python script to take automatic image screenshots.,/opt/omniscient/init,Misc / Review,python3 autoimgshot2.py,OK,,alias autoimgshot2='python3 /opt/omniscient/scripts/autoimgshot2.py',autoimgshot2.py
/opt/omniscient/automate-zap-security-tests-with-selenium-webdriver-8f72a8811524,TBD - please review,/opt/omniscient/init,Misc / Review,Open or inspect manually,Please review content,,,automate-zap-security-tests-with-selenium-webdriver-8f72a8811524
/opt/omniscient/autostart_ollama_service.sh,Autostarts the Ollama LLM service on boot or init.,/opt/omniscient/init,AI Processing,bash autostart_ollama_service.sh,OK,,alias autostart_ollama_service='bash /opt/omniscient/scripts/autostart_ollama_service.sh',autostart_ollama_service.sh
/opt/omniscient/awesome.code-workspace,VSCode workspace config file.,/opt/omniscient/gui,Interface / UI,Open or inspect manually,OK,,,awesome.code-workspace
